itemno,stim_type,noun,adjective,cosine_metric,noun_freq,noun_char,noun_syll,noun_phon,adj_freq,adj_char,adj_syll,adj_phon,condition,arousal,concreteness,imageability,meaningfulness,cluster
1,TARG,akadály,lehetetlen,1,6030,7,3,2,5822,10,4,6,TARG,5.4,4.65,3.6,6.3,1
2,TARG,albérlet,szegényes,1,547,8,3,1,439,9,3,7,TARG,4.5,5.55,6.5,6.05,2
3,TARG,alkatrész,műszaki,1,2625,9,3,2,11955,7,3,1,TARG,1.6,5.9,5.6,6.45,3
4,TARG,alkohol,legális,1,3138,7,3,2,1848,7,3,3,TARG,2.75,5.45,5.2,5.3,4
5,TARG,állatkert,egzotikus,1,2056,9,3,3,643,9,4,1,TARG,2.95,5.45,5.6,6.45,4
6,TARG,áruházlánc,veszteséges,1,935,10,4,2,1234,11,4,8,TARG,2.7,4.85,4.1,5.9,2
7,TARG,ásványvíz,minőségi,1,963,9,3,1,4832,8,4,2,TARG,1.85,6.05,5.25,6.4,2
8,TARG,aszfalt,hibátlan,1,977,7,2,4,863,8,3,1,TARG,1.95,6.3,6.7,6.65,4
9,TARG,baktérium,növényi,1,1448,9,4,1,968,7,3,7,TARG,2.25,4.75,2.95,5.85,2
10,TARG,barátnő,középkorú,1,3479,7,3,1,1253,9,4,8,TARG,1.95,5.9,5.5,6.1,4
11,TARG,barlang,lakatlan,1,1015,7,2,2,471,8,3,2,TARG,2.9,6.2,6.1,6.3,4
12,TARG,benzinkút,hajnali,1,1490,9,3,1,3888,7,3,8,TARG,2.85,5.25,6.5,4.8,2
13,TARG,bölcsőde,szomszédos,1,1219,8,3,1,5450,10,3,7,TARG,1.7,6.1,5.1,6.55,2
14,TARG,boríték,érvénytelen,1,1364,7,3,3,1401,11,4,2,TARG,2.8,4.1,4.1,3.4,5
15,TARG,csecsemő,egészséges,1,2039,8,3,2,7076,10,4,8,TARG,2.6,6.5,6.55,6.6,4
16,TARG,csengőhang,többféle,1,2279,10,3,1,2956,8,3,1,TARG,2.25,4.55,3.55,5.8,2
17,TARG,csillagász,figyelmes,1,606,10,3,4,1273,9,3,8,TARG,1.9,4.4,4.85,5.8,2
18,TARG,csomagolás,ízléses,1,1577,10,4,4,472,7,3,7,TARG,1.35,5.8,6.1,6.05,2
19,TARG,diáklány,ártatlan,1,819,8,3,4,2035,8,3,5,TARG,2.8,5.3,5.35,6.6,2
20,TARG,diktátor,kegyetlen,1,1821,8,3,4,1493,9,3,2,TARG,6,5.8,6.2,6.7,1
21,TARG,díszlet,színpadi,1,1420,7,2,3,1542,8,3,5,TARG,2.1,5.9,6.35,6.75,4
22,TARG,díszterem,patinás,1,1123,9,3,1,802,7,3,4,TARG,2.3,5.2,5.55,5.05,2
23,TARG,egyenruha,rendőri,1,1598,9,4,1,6998,7,3,1,TARG,3.4,6.75,6.65,6.9,2
24,TARG,étterem,elegáns,1,4657,7,3,4,3281,7,3,1,TARG,2.55,6.1,6.75,6.9,4
25,TARG,fejedelem,történelmi,1,903,9,4,3,14910,10,4,7,TARG,1.85,5.25,5.15,6.2,3
26,TARG,fejfájás,kellemetlen,1,1351,8,3,4,3486,11,4,1,TARG,5.85,5.5,5.25,6.7,5
27,TARG,folyadék,elegendő,1,1438,8,3,3,9296,8,4,1,TARG,2.65,4.85,5.45,6.5,3
28,TARG,gorilla,érzékeny,1,659,7,3,2,3895,8,3,3,TARG,3.1,4,4.3,4.9,6
29,TARG,hangszer,autentikus,1,1828,8,2,3,526,10,5,1,TARG,2,4.6,3.7,4.7,5
30,TARG,háziorvos,elégedetlen,1,2011,9,4,4,2000,11,5,3,TARG,4.1,5.6,5.2,5.6,7
31,TARG,helyezés,végleges,1,5834,8,3,4,7802,8,3,3,TARG,2.95,4.45,3.65,5.2,4
32,TARG,horgász,tradicionális,1,707,7,2,2,850,13,6,1,TARG,2.1,4.65,5,4.65,5
